timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1682208000000,1874.17000000,1882.01000000,1836.37000000,1862.00000000,344514.34440000,1682294399999,641362428.68936600,463928,180537.42010000,336129438.63123800,0
1682294400000,1862.01000000,1890.00000000,1806.00000000,1841.84000000,447864.05170000,1682380799999,826968889.24123200,682824,216968.96130000,400599962.39540300,0
1682380800000,1841.84000000,1877.86000000,1801.66000000,1866.10000000,457870.60470000,1682467199999,839226421.37824600,631766,238370.89710000,436940670.14806300,0
1682467200000,1866.10000000,1964.72000000,1785.00000000,1866.01000000,897709.72980000,1682553599999,1695903568.96090300,1182620,445589.98610000,842104509.42400100,0
1682553600000,1866.01000000,1940.96000000,1861.19000000,1908.68000000,727472.94660000,1682639999999,1383094120.67767000,959609,378523.29340000,719109759.95745500,0
1682640000000,1908.68000000,1923.88000000,1873.94000000,1890.94000000,387630.77910000,1682726399999,736203306.61415600,574483,201390.05560000,382298834.01980900,0
1682726400000,1890.93000000,1918.00000000,1883.05000000,1907.80000000,182046.14060000,1682812799999,346028241.29573700,335962,90910.25440000,172785540.85637000,0
1682812800000,1907.79000000,1939.00000000,1866.16000000,1870.09000000,355336.48880000,1682899199999,677913240.81466200,552933,176787.43370000,337334018.00262500,0
1682899200000,1870.08000000,1886.49000000,1806.12000000,1830.73000000,445519.17790000,1682985599999,818821593.69484900,647788,220514.81130000,405281273.92910800,0
1682985600000,1830.73000000,1881.87000000,1822.94000000,1870.08000000,373753.20270000,1683071999999,690907892.11045500,563768,184439.10310000,340877324.21815800,0
1683072000000,1870.09000000,1916.52000000,1842.64000000,1905.12000000,465185.25010000,1683158399999,871222153.95979200,751579,239749.08060000,449104177.86407200,0
1683158400000,1905.12000000,1918.26000000,1866.71000000,1877.07000000,354528.61440000,1683244799999,670584503.65961900,525802,172127.95090000,325526383.58993200,0
