open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
27736.39000000,28038.59000000,27554.00000000,27694.40000000,32686.75371000,908653906.00727420,745633,15196.52438000,422438614.85257250
27694.39000000,27835.51000000,26839.01000000,27210.35000000,46588.80573000,1265952178.77986840,908537,21962.66824000,596493723.43926400
27210.36000000,27350.00000000,26605.05000000,26817.93000000,39217.80880000,1055132509.86583420,814389,18620.69161000,500960557.92278290
26817.93000000,27300.00000000,26505.00000000,27242.59000000,36380.90269000,983857061.64084190,811087,18134.67738000,490485191.78806760
27242.59000000,27333.29000000,26914.93000000,27069.22000000,16595.34117000,450588672.47040810,466520,7745.78680000,210327639.56108250
27069.22000000,27455.02000000,26951.00000000,27115.21000000,19258.41049000,523747237.43896960,504474,9511.72432000,258699846.47588030
27115.20000000,27129.33000000,25388.00000000,25728.20000000,65805.60305000,1722665798.09203020,1420829,30583.35138000,799867474.21258980
25728.20000000,27355.33000000,25351.02000000,27230.08000000,68392.60438000,1797636024.08121260,1345725,35083.78790000,922716234.21001140
27230.07000000,27391.77000000,26125.01000000,26339.34000000,59619.44364000,1589291467.53723290,1311928,28095.50924000,749083400.12038920
26339.34000000,26810.00000000,26210.00000000,26498.61000000,31075.51083000,823023638.23687500,848252,14614.60741000,387105933.43997990
26498.62000000,26783.33000000,26269.91000000,26477.81000000,27934.70970000,741158215.05390230,746911,12757.07361000,338454644.89561430
26477.80000000,26533.87000000,25358.00000000,25841.21000000,64944.60108000,1673795235.40089230,1713871,31558.13098000,813190388.24856080
25841.22000000,26206.88000000,25634.70000000,25925.55000000,30014.29595000,776111471.86699710,833902,14266.10759000,368954010.80744420
25925.54000000,26106.48000000,25602.11000000,25905.19000000,29900.50893000,773303698.86332210,858037,14219.97114000,367770742.66004000
25905.20000000,26433.21000000,25712.57000000,25934.25000000,41065.60853000,1068985236.51265540,1007138,20120.32689000,523776704.24149100
25934.24000000,26098.00000000,24820.56000000,25128.60000000,45077.31608000,1152808416.91979290,957418,20726.13761000,530122336.37885320
25128.60000000,25759.01000000,24800.00000000,25598.49000000,48664.86063000,1224436974.85028730,943268,24035.81623000,604884325.24625680
25598.49000000,26518.00000000,25175.56000000,26345.00000000,51596.91662000,1335158158.63961400,926194,24055.65943000,622525707.60499810
26345.01000000,26839.99000000,26181.00000000,26516.99000000,27842.21950000,738491809.88116250,666967,13843.65158000,367248705.00540730
26516.99000000,26700.00000000,26255.85000000,26339.97000000,21538.31022000,571013013.85533620,555956,10367.07533000,274864183.44428690
