open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,close_to_open,target
1807.45,1817.03,1785.23,1795.11,212895.4373,383397322.74478096,342566,107960.5618,194416969.777289,31.799999999999955,-12.340000000000146,1799.21
1795.12,1824.0,1789.82,1799.21,218101.0977,393557662.80186,348092,112091.4998,202267370.369558,34.180000000000064,4.0900000000001455,1816.2
1799.2,1846.7,1785.05,1816.2,388171.9261,708011632.174709,503728,200878.5212,366433193.428354,61.65000000000009,17.0,1824.21
1816.21,1832.64,1796.2,1824.21,311238.6786,565367254.106777,466058,145796.2684,264839999.726318,36.440000000000055,8.0,1822.12
1824.21,1837.5,1783.68,1822.12,352097.9913,637776970.833855,524718,174614.8238,316362266.891233,53.819999999999936,-2.0900000000001455,1800.56
1822.12,1831.92,1771.12,1800.56,293755.311,531357170.827152,480171,142539.4053,257898809.718076,60.80000000000018,-21.559999999999945,1812.32
1800.56,1829.54,1796.81,1812.32,243116.4676,440291732.350879,390917,125305.6452,226950073.642058,32.73000000000002,11.759999999999991,1819.42
1812.31,1828.87,1807.06,1819.42,127754.4349,232010582.306628,272744,67168.5635,122004402.445928,21.809999999999945,7.110000000000127,1804.91
1819.42,1828.98,1797.21,1804.91,161517.8053,292535613.878124,308391,76815.2518,139145313.568439,31.769999999999982,-14.509999999999991,1817.35
1804.91,1828.27,1792.01,1817.35,237498.9423,430673377.916653,411867,123914.6884,224774189.867085,36.25999999999999,12.439999999999827,1854.05
1817.36,1872.5,1815.24,1854.05,396869.6097,734581474.7224659,548587,222549.7769,411731244.578506,57.25999999999999,36.690000000000055,1799.89
1854.06,1854.09,1777.6,1799.89,420846.1445,761360360.597887,554307,193455.1113,349797434.176159,76.49000000000001,-54.169999999999845,1805.6
1799.89,1818.81,1761.41,1805.6,350633.0089,628769352.442571,482899,164410.1627,294794104.354962,57.399999999999864,5.709999999999809,1827.79
1805.61,1838.2,1796.99,1827.79,275690.6854,501773973.87993693,375854,140633.1075,255923842.594071,41.210000000000036,22.180000000000064,1829.89
1827.8,1836.12,1812.18,1829.89,138824.9406,253710138.250563,276383,69580.6479,127156321.87459,23.939999999999827,2.0900000000001455,1908.64
1829.89,1918.65,1823.6,1908.64,378392.4371,705699886.229488,549727,194805.8607,363152161.536748,95.05000000000018,78.75,1892.6
1908.64,1927.62,1873.65,1892.6,313593.4942,596236148.9098849,445895,158390.3448,301175186.439594,53.9699999999998,-16.04000000000019,1900.59
1892.6,1917.0,1881.19,1900.59,272665.8402,519059196.247416,422249,134288.1609,255644547.737627,35.809999999999945,7.990000000000009,1873.63
1900.58,1907.13,1846.95,1873.63,319255.5681,597360395.544034,451133,149451.087,279624016.04226,60.180000000000064,-26.949999999999818,1861.78
1873.63,1889.2,1840.0,1861.78,270496.6097,504448237.27338,422899,132786.9324,247622735.209231,49.200000000000045,-11.850000000000136,1906.68
1861.78,1910.0,1847.51,1906.68,313004.0658,591169483.099447,456788,157874.0403,298230534.993066,62.49000000000001,44.90000000000009,1892.06
1906.69,1907.92,1881.6,1892.06,148818.2427,282550389.946688,292512,71248.1015,135269927.949346,26.320000000000164,-14.63000000000011,1890.01
1892.05,1914.63,1884.22,1890.01,172683.0119,328166899.062354,289973,85783.1201,163026354.238026,30.410000000000082,-2.0399999999999636,1810.5
1890.0,1890.63,1778.0,1810.5,555361.2683,1017689609.362256,688879,253634.645,464638835.75944895,112.63000000000011,-79.5,1884.64
1810.49,1898.29,1797.18,1884.64,491407.2174,907660359.425966,616201,254098.0244,469823908.553932,101.1099999999999,74.15000000000009,1832.13
1884.65,1897.8,1821.18,1832.13,429196.7064,796856688.8667129,594071,201074.7993,373411267.734446,76.61999999999989,-52.51999999999998,1845.64
1832.12,1861.28,1828.31,1845.64,189270.4853,349160385.10498,347990,89218.1306,164597259.318507,32.97000000000003,13.52000000000021,1840.37
1845.65,1855.0,1827.0,1840.37,198324.3252,365037779.742887,354623,92841.2883,170881394.316314,28.0,-5.2800000000002,1751.53
1840.37,1844.99,1715.03,1751.53,652324.6695,1148312156.525596,877410,298962.6533,525884490.13860494,129.96000000000004,-88.83999999999992,1752.76
1751.52,1778.25,1738.72,1752.76,219956.2434,385656545.950238,378921,104970.1039,184058191.293455,39.52999999999997,1.240000000000009,1742.57
1752.77,1759.33,1720.0,1742.57,302132.4819,525467514.61960894,467392,154579.0466,268848228.1776,39.32999999999993,-10.200000000000045,1740.12
1742.57,1770.13,1724.22,1740.12,284268.0018,495907901.668493,498880,147060.3735,256562479.934,45.91000000000008,-2.4500000000000455,1650.95
1740.12,1750.03,1630.43,1650.95,415847.327,705586390.233981,572996,198035.006,335772562.742377,119.59999999999991,-89.16999999999985,1666.96
1650.95,1680.91,1626.01,1666.96,370774.7696,611499814.542176,458568,192425.5156,317419943.086948,54.90000000000009,16.00999999999999,1717.92
1666.96,1729.5,1649.86,1717.92,311734.5904,525393264.96220094,408176,158600.074,267168521.191646,79.6400000000001,50.960000000000036,1727.76
1717.91,1770.0,1714.26,1727.76,210914.9216,366944179.320637,359758,107260.8485,186631806.833697,55.74000000000001,9.849999999999909,1720.95
1727.75,1747.84,1712.0,1720.95,156535.0128,270948973.417484,273858,79223.6039,137159225.733412,35.83999999999992,-6.7999999999999545,1737.11
1720.95,1752.19,1698.0,1737.11,245162.7589,422827205.775489,366143,120432.5942,207735564.792355,54.190000000000055,16.159999999999854,1791.99
1737.1,1796.99,1714.72,1791.99,328855.6846,577529266.789217,459724,168345.9791,295848851.477509,82.26999999999998,54.8900000000001,1889.11
1791.99,1901.0,1787.38,1889.11,613755.8869,1132377905.488902,699689,301882.535,557089886.052912,113.61999999999989,97.11999999999989,1872.01
1889.1,1933.17,1865.98,1872.01,416714.5719,791056016.146176,536410,196874.686,373931527.580786,67.19000000000005,-17.089999999999918,1892.63
1872.0,1936.42,1861.01,1892.63,401147.9324,760352485.336681,531784,196520.6502,372600003.369504,75.41000000000008,20.63000000000011,1874.96
1892.63,1906.0,1864.77,1874.96,226910.2941,427721477.76198,356654,108047.8764,203668990.458571,41.23000000000002,-17.670000000000073,1898.8
1874.95,1930.0,1868.83,1898.8,338757.6158,644415530.040616,482753,170334.2642,323870595.292583,61.17000000000007,23.84999999999991,1858.97
1898.8,1909.1,1837.18,1858.97,458743.861,859537162.3556141,518009,221834.2749,415653994.57101506,71.91999999999985,-39.82999999999993,1889.58
1858.97,1912.53,1855.19,1889.58,366634.5707,690855987.041332,437184,195382.3664,368354695.947731,57.33999999999992,30.6099999999999,1828.02
1889.58,1890.19,1816.56,1828.02,337836.5792,626358502.58848,437585,160645.2676,297804857.125455,73.63000000000011,-61.559999999999945,1851.99
1828.03,1880.0,1827.84,1851.99,241844.8281,448678322.176822,350823,123194.6191,228587452.243649,52.16000000000008,23.960000000000036,1933.79
1851.99,1948.6,1825.01,1933.79,716538.1035,1353630452.615445,824889,345435.6526,653049175.2450271,123.58999999999992,81.79999999999995,1924.5
1933.8,1944.56,1909.44,1924.5,178373.3688,343093755.612736,307019,88294.4703,169850518.153404,35.11999999999989,-9.299999999999955,1937.48
1924.5,1959.2,1885.75,1937.48,255852.7832,491981842.96013904,381133,127341.9623,244921036.01352,73.45000000000005,12.980000000000018,1955.54
1937.49,1976.16,1933.55,1955.54,322102.4295,631158998.811416,404084,156608.6405,306826484.736802,42.61000000000013,18.049999999999955,1936.2
1955.55,1967.08,1931.58,1936.2,205525.0984,401186997.249838,307691,93898.5422,183304067.882058,35.5,-19.34999999999991,1910.36
1936.19,1942.5,1894.51,1910.36,267633.4783,512774138.21894896,362985,128057.0596,245340739.075563,47.99000000000001,-25.830000000000155,1846.17
1910.35,1958.0,1846.0,1846.17,456362.741,868009586.22327,519031,225559.182,429043301.00454307,112.0,-64.17999999999984,1870.91
1846.17,1878.0,1826.0,1870.91,232944.3466,432733381.05496705,355260,115143.0873,213926654.205755,52.0,24.74000000000001,1865.24
1870.92,1876.0,1842.8,1865.24,125819.8273,234001180.804625,228589,62592.5197,116432999.11736,33.200000000000045,-5.680000000000064,1862.8
1865.24,1879.36,1856.15,1862.8,135046.3743,252189550.05161,234925,67977.917,126943043.660608,23.20999999999981,-2.4400000000000546,1880.4
